Disease,Common disease group,Symptoms,Disease Group,Dosha Types
Uropathogenic Escherichia coli (UPEC) infection,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever (if upper tract),Bacterial UTI (lower/upper),Pitta|Vata
Klebsiella pneumoniae UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever (if upper tract),Bacterial UTI,Pitta|Vata
Proteus mirabilis UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever (if upper tract),Bacterial UTI,Pitta|Vata
Pseudomonas aeruginosa UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever (if upper tract),Bacterial UTI,Pitta|Vata
Enterococcus species UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever (if upper tract),Bacterial UTI,Pitta|Vata
Staphylococcus saprophyticus infection,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain,Bacterial UTI,Pitta|Vata
Staphylococcus aureus UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; cloudy or bloody urine; fever (if upper tract); possible abscess formation,Bacterial UTI (lower or upper),Pitta|Vata|Kapha
Group B Streptococcus UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; cloudy urine; fever (if upper tract); may be asymptomatic,Bacterial UTI,Pitta|Vata|Kapha
Candida species fungal UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; cloudy urine; possible white debris in urine; fever (if upper tract); more common in immunocompromised,Fungal UTI,Pitta|Kapha
Trichomonas vaginalis urethritis,Urinary tract infections,Burning urination; frequency; urethral discharge (frothy); itching; irritation; pain during sex,Parasitic urethritis,Pitta|Kapha
Chlamydia trachomatis urethritis,Urinary tract infections,Burning urination; frequency; mild urethral discharge; pelvic pain; often mild or asymptomatic,Bacterial urethritis (sexually transmitted),Pitta|Vata
Neisseria gonorrhoeae urethritis,Urinary tract infections,Burning urination; frequency; purulent urethral discharge; pelvic pain; possible fever,Bacterial urethritis (sexually transmitted),Pitta|Kapha
Ureaplasma urealyticum UTI,Urinary tract infections,Burning urination; frequency; mild discharge; pelvic pain; often mild or asymptomatic,Bacterial UTI/urethritis,Pitta|Vata
Mycoplasma genitalium infection,Urinary tract infections,Burning urination; frequency; mild discharge; pelvic pain; often mild or asymptomatic,Bacterial urethritis (sexually transmitted),Pitta|Vata
Viral UTI (herpes simplex virus),Urinary tract infections,Burning urination; frequency; painful genital ulcers; dysuria; fever; pelvic pain,Viral UTI/urethritis,Pitta|Vata
Schistosomiasis-associated UTIs,Urinary tract infections,Burning urination; frequency; hematuria; suprapubic pain; chronic bladder symptoms; risk of bladder cancer,Parasitic UTI,Pitta|Vata|Kapha
Tuberculous urinary tract infection,Urinary tract infections,Burning urination; frequency; urgency; hematuria; sterile pyuria; weight loss; fever; night sweats,Mycobacterial UTI,Pitta|Vata|Kapha
Pediatric urinary tract infection,Urinary tract infections,Fever; irritability; poor feeding; vomiting; diarrhea; failure to thrive; change in urination pattern; older children: burning urination; frequency; urgency; abdominal pain,Pediatric UTI,Vata|Pitta|Kapha
Vesicoureteral reflux-associated UTI,Urinary tract infections,Recurrent UTI symptoms; flank pain; possible kidney damage,Reflux-associated UTI,Vata|Pitta|Kapha
Neurogenic bladder UTI,Urinary tract infections,Burning urination; frequency; urgency; incontinence; incomplete voiding; recurrent infections,UTI with neurogenic bladder,Vata|Pitta|Kapha
UTI in pregnancy,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; sometimes asymptomatic; risk of pyelonephritis,UTI in pregnancy,Pitta|Vata|Kapha
Postmenopausal UTI,Urinary tract infections,Burning urination; frequency; urgency; incontinence; recurrent infections; vaginal dryness,UTI in postmenopausal women,Vata|Pitta|Kapha
Male UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic or perineal pain; possible fever; discharge,UTI in males,Pitta|Vata|Kapha
UTI in diabetic patients,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; recurrent infections; poor healing; possible fungal infections,UTI in diabetes,Kapha|Pitta|Vata
Xanthogranulomatous pyelonephritis,Urinary tract infections,Flank pain; fever; malaise; weight loss; palpable mass; recurrent UTI symptoms,Chronic granulomatous kidney infection,Kapha|Pitta|Vata
Malakoplakia,Urinary tract infections,Recurrent UTI symptoms; hematuria; dysuria; pelvic pain; mass lesion in bladder or kidney,Chronic inflammatory bladder/kidney disease,Kapha|Pitta|Vata
Urethral diverticulum infection,Urinary tract infections,Burning urination; frequency; post-void dribbling; dyspareunia; recurrent infections; mass near urethra,Urethral diverticulum infection,Vata|Pitta|Kapha
Chronic indwelling catheter UTI,Urinary tract infections,Burning urination; frequency; urgency; fever; suprapubic pain; discharge; often asymptomatic,Catheter-associated UTI,Vata|Pitta|Kapha
Periurethral gland infection,Urinary tract infections,Burning urination; frequency; perineal pain; swelling; possible abscess,Periurethral gland infection,Pitta|Kapha|Vata
Prostatic abscess,Urinary tract infections,Fever; chills; perineal pain; dysuria; urinary retention; tender prostate,Prostatic abscess,Pitta|Kapha|Vata
Fournier’s gangrene (necrotizing infection),Urinary tract infections,Severe pain; swelling; redness; fever; rapid tissue destruction in genital/perineal area; foul odor; shock,Necrotizing soft tissue infection (urogenital),Pitta|Vata|Kapha
Candiduria,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; cloudy urine; white debris in urine; possible fever (if upper tract); may be asymptomatic; recurrent UTIs; fatigue; malaise; sometimes vaginal itching or discharge,Fungal UTI (lower or upper),kapha|pitta|vata
Emphysematous prostatitis,Urinary tract infections,Fever; chills; perineal pain; dysuria; urinary retention; gas in urine; tender prostate; possible sepsis,Severe bacterial (gas-forming) prostate infection,pitta|kapha|vata
Prostatic calculi with infection,Urinary tract infections,Burning urination; frequency; urgency; pelvic pain; painful ejaculation; recurrent infections; possible fever; weak urine stream,Prostatic stone with infection,vata|pitta|kapha
Ureterocele infection,Urinary tract infections,Burning urination; frequency; urgency; flank pain; recurrent infections; possible hematuria; urinary retention,Ureterocele (congenital dilation) with infection,vata|pitta|kapha
Urinary tract fistula infections,Urinary tract infections,Continuous urine leakage; recurrent UTIs; burning urination; frequency; vaginal or perineal discharge; local irritation,Fistula-associated UTI,vata|pitta|kapha
Ureteral stent infection,Urinary tract infections,Burning urination; frequency; urgency; flank pain; hematuria; fever; discomfort; recurrent infections,Device-associated UTI,vata|pitta|kapha
Periureteral abscess,Urinary tract infections,Flank pain; fever; chills; palpable mass; malaise; urinary symptoms (burning; frequency),Abscess near ureter,pitta|kapha|vata
Ureteral stricture with infection,Urinary tract infections,Burning urination; frequency; urgency; flank pain; urinary retention; recurrent infections,Ureteral narrowing with infection,vata|pitta|kapha
Renal papillary necrosis with infection,Urinary tract infections,Flank pain; fever; hematuria; burning urination; passage of tissue fragments; malaise,Kidney papillae necrosis with infection,pitta|vata|kapha
Pyonephrosis,Urinary tract infections,Flank pain; fever; chills; malaise; palpable mass; severe infection; sepsis; urinary obstruction,Pus-filled kidney (infected hydronephrosis),pitta|kapha|vata
Acute bacterial prostatitis,Urinary tract infections,Fever; chills; perineal pain; dysuria; urinary retention; tender prostate; malaise,Acute prostate infection,pitta|vata|kapha
Chronic bacterial prostatitis,Urinary tract infections,Pelvic pain; burning urination; frequency; urgency; painful ejaculation; recurrent infections; low-grade fever,Chronic prostate infection,vata|pitta|kapha
Prostatodynia (nonbacterial prostatitis),Urinary tract infections,Pelvic pain; perineal discomfort; urinary frequency; urgency; pain during or after ejaculation; no infection found,Nonbacterial prostate pain syndrome,vata|pitta
Epididymo-orchitis,Urinary tract infections,Scrotal pain; swelling; redness; fever; dysuria; discharge; possible testicular pain,Epididymis and testis infection,pitta|kapha|vata
Gangrenous cystitis,Urinary tract infections,Severe suprapubic pain; fever; hematuria; foul-smelling urine; tissue necrosis; sepsis,Necrotizing bladder infection,pitta|vata|kapha
Bacterial prostatitis syndrome,Urinary tract infections,Pelvic pain; burning urination; frequency; urgency; fever (acute); painful ejaculation; recurrent infections,Prostate infection syndromes,pitta|vata|kapha
Asymptomatic bacteriuria,Urinary tract infections,No symptoms; bacteria present in urine on testing,Asymptomatic UTI,kapha|pitta
Renal scarring due to recurrent UTI,Urinary tract infections,Often asymptomatic; may have hypertension; proteinuria; history of recurrent UTI; possible flank pain,Chronic kidney damage from infection,kapha|vata|pitta
Urinary tract obstruction due to infection,Urinary tract infections,Burning urination; frequency; urgency; pain; urinary retention; fever; recurrent infections,Obstructive UTI,vata|pitta|kapha
Antibiotic-resistant UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever; recurrent or persistent symptoms despite antibiotics,Resistant bacterial UTI,pitta|vata|kapha
Extended spectrum beta-lactamase (ESBL) producing bacteria UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever; recurrent or persistent symptoms; often in hospital settings,Resistant bacterial UTI,pitta|vata|kapha
Infectious urethral stricture,Urinary tract infections,Burning urination; frequency; weak urine stream; straining; incomplete emptying; recurrent infections,Urethral narrowing with infection,vata|pitta|kapha
Urogenital tuberculosis,Urinary tract infections,Burning urination; frequency; urgency; hematuria; sterile pyuria; weight loss; fever; night sweats; chronic pelvic pain,Mycobacterial urogenital infection,pitta|vata|kapha
Chronic fungal prostatitis,Urinary tract infections,Pelvic pain; burning urination; frequency; urgency; perineal discomfort; recurrent infections; possible discharge,Chronic fungal prostate infection,kapha|pitta|vata
Parasitic urinary infections,Urinary tract infections,Burning urination; frequency; hematuria; pelvic pain; possible passage of parasites; chronic bladder symptoms,Parasitic UTI,pitta|vata|kapha
Actinomycosis of the Urinary Tract,Urinary tract infections,"Hematuria (blood in urine); burning urination; increased frequency; suprapubic or lower abdominal pain; irritative and obstructive urinary symptoms; fever; weight loss; palpable abdominal mass; possible mass effect (obstruction, pressure); constitutional symptoms (fatigue, malaise); sometimes misdiagnosed as tumor; possible abscess or fistula formation","Chronic bacterial infection (rare, mimics tumor)",kapha|pitta|vata
Prostatic Tuberculosis,Urinary tract infections,Burning urination; frequency; urgency; perineal pain; pelvic pain; hematuria; dysuria; possible abscess; low-grade fever; weight loss; chronic pelvic discomfort,Mycobacterial (tuberculous) prostate infection,pitta|vata|kapha
Cysticercosis Involving Urinary Tract,Urinary tract infections,Hematuria; dysuria; passage of cysts or tissue in urine; pelvic pain; possible urinary obstruction; recurrent infections,Parasitic infection (cysticercosis),pitta|vata|kapha
Malignant Transformation in Chronic UTI (rare),Urinary tract infections,"Hematuria; persistent burning urination; frequency; pelvic pain; weight loss; mass effect; possible constitutional symptoms (fatigue, malaise)",Chronic UTI with secondary malignancy,kapha|pitta|vata
UTI with Septicemia,Urinary tract infections,Burning urination; frequency; urgency; fever; chills; malaise; confusion; low blood pressure; rapid heart rate; possible shock,UTI with systemic infection (sepsis),pitta|vata|kapha
Urosepsis,Urinary tract infections,Burning urination; frequency; urgency; fever; chills; confusion; low blood pressure; rapid heart rate; organ dysfunction; possible shock,UTI with systemic sepsis,pitta|vata|kapha
Acute Hemorrhagic Cystitis,Urinary tract infections,Sudden onset hematuria; burning urination; frequency; urgency; suprapubic pain; possible clots in urine,Acute bladder infection with bleeding,pitta|vata
Chronic Pelvic Pain Syndrome (including infectious causes),Urinary tract infections,Chronic pelvic pain; perineal pain; urinary frequency; urgency; burning urination; pain during or after ejaculation; possible low-grade fever,Chronic pelvic pain (may be infectious or noninfectious),vata|pitta
Prostatodynia with Infection,Urinary tract infections,Pelvic pain; perineal discomfort; burning urination; frequency; urgency; pain during or after ejaculation; possible low-grade fever,Prostate pain syndrome with infection,vata|pitta
Catheter-Associated Biofilm Infections,Urinary tract infections,Burning urination; frequency; urgency; fever; suprapubic pain; discharge; recurrent or persistent infection; often asymptomatic,Device-associated UTI (biofilm),kapha|pitta|vata
Nosocomial UTI,Urinary tract infections,Burning urination; frequency; urgency; fever; suprapubic pain; often asymptomatic; may be resistant to antibiotics,Hospital-acquired UTI,pitta|vata|kapha
Polymicrobial Urinary Tract Infection,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever; recurrent or persistent symptoms,Mixed bacterial UTI,pitta|vata|kapha
Urethral Abscess,Urinary tract infections,Perineal pain; swelling; redness; burning urination; fever; possible discharge; difficulty urinating,Urethral abscess,pitta|kapha|vata
Urethral Fistula Infection,Urinary tract infections,Continuous urine leakage; burning urination; frequency; perineal pain; recurrent infections; local irritation,Fistula-associated UTI,vata|pitta|kapha
Urinary Tract Infection in Renal Transplant,Urinary tract infections,Burning urination; frequency; urgency; fever; flank pain; graft tenderness; possible asymptomatic bacteriuria; risk of sepsis,UTI in renal transplant recipient,pitta|vata|kapha
Postoperative Urinary Tract Infection,Urinary tract infections,Burning urination; frequency; urgency; fever; suprapubic pain; possible wound infection; delayed healing,Post-surgical UTI,pitta|vata|kapha
Nosocomial Cystitis,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever; often asymptomatic; may be resistant to antibiotics,Hospital-acquired bladder infection,pitta|vata|kapha
Ureteral Calculi Complicated by Infection,Urinary tract infections,Flank pain; burning urination; frequency; urgency; hematuria; fever; chills; possible urinary retention; sepsis,Kidney/ureter stone with infection,vata|pitta|kapha
Ureteral Tuberculosis,Urinary tract infections,Burning urination; frequency; urgency; hematuria; flank pain; sterile pyuria; weight loss; fever; night sweats,Mycobacterial ureter infection,pitta|vata|kapha
Urinary Fistula Post Gynecological Surgery Infection,Urinary tract infections,Continuous urine leakage; burning urination; frequency; pelvic pain; recurrent infections; local irritation,Post-surgical fistula with infection,vata|pitta|kapha
Bladder Mucosal Infections,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; hematuria; possible ulceration,Bladder mucosal infection,pitta|vata|kapha
Paraneoplastic Syndromes Involving Urinary Tract Infection,Urinary tract infections,"Burning urination; frequency; urgency; hematuria; systemic symptoms (fever, weight loss); possible neurological or endocrine symptoms",Paraneoplastic syndrome with UTI,kapha|pitta|vata
"Viral Hemorrhagic Cystitis (e.g., BK virus)",Urinary tract infections,Hematuria; burning urination; frequency; urgency; suprapubic pain; possible clots in urine; fever,Viral bladder infection with bleeding,pitta|vata
Renal Parenchymal Infections,Urinary tract infections,Flank pain; fever; chills; malaise; burning urination; frequency; hematuria; possible abscess formation,Kidney tissue infection,pitta|vata|kapha
Infection-Induced Interstitial Nephritis,Urinary tract infections,Flank pain; fever; malaise; hematuria; burning urination; possible rash; joint pain; acute kidney injury,Kidney interstitial tissue infection,pitta|vata|kapha
Acid maltase deficiency (Pompe disease),Muscular disorders,Progressive muscle weakness; respiratory difficulties; cardiomegaly; feeding problems; poor growth; fatigue; exercise intolerance; hypotonia,Glycogen storage disease (metabolic myopathy),kapha|vata
Acid sphingomyelinase deficiency,Muscular disorders,Muscle weakness; hepatosplenomegaly; ataxia; developmental delay; hypotonia; respiratory issues,Lysosomal storage disease (Niemann-Pick disease),kapha|vata
Amyotrophic lateral sclerosis (ALS),Muscular disorders,Progressive muscle weakness; muscle wasting; fasciculations; spasticity; difficulty speaking/swallowing; respiratory failure,Motor neuron disease,vata
Ankylosing spondylitis (can involve muscle),Muscular disorders,Back pain; stiffness; reduced mobility; muscle pain; fatigue,Inflammatory spondyloarthropathy,vata|pitta
Becker muscular dystrophy (BMD),Muscular disorders,Progressive muscle weakness (hips; thighs; pelvis; shoulders); difficulty walking; heart involvement; mild contractures; slower progression than DMD,Muscular dystrophy,vata|kapha
Bethlem myopathy,Muscular disorders,Proximal muscle weakness; joint contractures; mild progression; respiratory issues,Congenital myopathy,vata|kapha
Central core disease,Muscular disorders,Hypotonia; muscle weakness (especially proximal); delayed motor milestones; risk of malignant hyperthermia,Congenital myopathy,vata|kapha
Centronuclear myopathy,Muscular disorders,Muscle weakness (especially proximal); delayed motor milestones; facial weakness; respiratory issues,Congenital myopathy,vata|kapha
Congenital muscular dystrophy (CMD),Muscular disorders,Muscle weakness from birth; hypotonia; joint contractures; delayed milestones; respiratory and swallowing difficulties; scoliosis,Muscular dystrophy,vata|kapha
Congenital fiber type disproportion,Muscular disorders,Hypotonia; muscle weakness; delayed motor milestones; facial weakness,Congenital myopathy,vata|kapha
Congenital myasthenic syndromes,Muscular disorders,Muscle weakness; fatigability; ptosis; ophthalmoplegia; respiratory difficulties,Neuromuscular junction disorder,vata
Congenital myopathies,Muscular disorders,Hypotonia; muscle weakness; delayed milestones; facial weakness; respiratory issues,Congenital myopathy,vata|kapha
Debrancher enzyme deficiency (Cori or Forbes disease),Muscular disorders,Muscle weakness; hepatomegaly; hypoglycemia; exercise intolerance,Glycogen storage disease,kapha|vata
Dermatomyositis,Muscular disorders,Muscle weakness (proximal); skin rash; pain; fatigue; difficulty swallowing; joint pain,Inflammatory myopathy,pitta|vata
Distal myopathy,Muscular disorders,Weakness in hands; feet; lower arms/legs; difficulty with fine motor tasks; slow progression,Muscular dystrophy,vata
Duchenne muscular dystrophy (DMD),Muscular disorders,Progressive muscle weakness (hips; thighs; pelvis; shoulders); frequent falls; difficulty walking; large calf muscles; learning/behavioral challenges; delayed growth; respiratory and cardiac complications,Muscular dystrophy,vata|kapha
Emery-Dreifuss muscular dystrophy,Muscular disorders,Muscle weakness (shoulders; upper arms; shins); joint contractures; decreased spine flexibility; heart problems (arrhythmia; fainting),Muscular dystrophy,vata|kapha
Endocrine myopathies,Muscular disorders,Muscle weakness; cramps; fatigue; possible muscle wasting; endocrine symptoms (thyroid; diabetes; adrenal),Endocrine/metabolic myopathy,vata|kapha
Facioscapulohumeral muscular dystrophy (FSHD),Muscular disorders,Weakness in face; shoulders; upper arms; difficulty closing eyes; chewing; moving arms; mild hearing loss; possible lower leg involvement,Muscular dystrophy,vata
Fibromyalgia,Muscular disorders,Widespread muscle pain; fatigue; sleep disturbances; cognitive difficulties; tenderness,Chronic pain syndrome,vata|kapha
Glycogen storage disease type V (McArdle disease),Muscular disorders,Exercise intolerance; muscle cramps; weakness; myoglobinuria,Metabolic myopathy,vata|kapha
Glycogen storage disease types I and II,Muscular disorders,Muscle weakness; hepatomegaly; hypoglycemia; exercise intolerance,Metabolic myopathy,kapha|vata
Hip girdle muscular dystrophy,Muscular disorders,Weakness in hip and pelvic muscles; difficulty walking; rising from sitting; climbing stairs,Muscular dystrophy,vata
Inclusion body myositis,Muscular disorders,Progressive muscle weakness (distal and proximal); difficulty swallowing; muscle wasting,Inflammatory myopathy,vata|pitta
Inflammatory myopathies,Muscular disorders,Muscle weakness; pain; fatigue; swelling; possible skin rash,Inflammatory myopathy,pitta|vata
Kearns-Sayre syndrome,Muscular disorders,Progressive external ophthalmoplegia; ptosis; muscle weakness; cardiac conduction defects; retinopathy,Mitochondrial myopathy,vata
Lactate dehydrogenase deficiency,Muscular disorders,Exercise intolerance; muscle cramps; weakness; myoglobinuria,Metabolic myopathy,vata|kapha
Limb-girdle muscular dystrophy (LGMD),Muscular disorders,Weakness in shoulders; hips; upper arms/legs; difficulty climbing stairs; rising from sitting; walking; running; possible heart involvement,Muscular dystrophy,vata
Mitochondrial DNA depletion syndrome,Muscular disorders,Muscle weakness; exercise intolerance; respiratory failure; developmental delay,Mitochondrial myopathy,vata
Mitochondrial myopathies,Muscular disorders,Muscle weakness; exercise intolerance; fatigue; ptosis; ophthalmoplegia; possible cardiac and neurological symptoms,Mitochondrial myopathy,vata
Mitochondrial neurogastrointestinal encephalomyopathy (MNGIE),Muscular disorders,Muscle weakness; gastrointestinal dysmotility; ptosis; ophthalmoplegia; peripheral neuropathy,Mitochondrial myopathy,vata
Myasthenia gravis,Muscular disorders,Muscle weakness; fatigability; ptosis; diplopia; difficulty swallowing; speaking; breathing,Neuromuscular junction disorder,vata
Myoclonus epilepsy with ragged red fibers (MERRF),Muscular disorders,Myoclonus; muscle weakness; epilepsy; ataxia; hearing loss,Mitochondrial myopathy,vata
Myofibrillar myopathy,Muscular disorders,Progressive muscle weakness; muscle wasting; possible cardiac involvement,Myopathy,vata
Myoglobinuria,Muscular disorders,Dark urine after exercise; muscle pain; weakness; possible kidney damage,Metabolic myopathy,vata|pitta
Myotonic dystrophy type 1,Muscular disorders,Progressive muscle weakness (face; neck; hands; lower legs); myotonia (delayed muscle relaxation); cataracts; cardiac arrhythmias; difficulty swallowing; excessive daytime sleepiness; endocrine disturbances; GI symptoms; respiratory issues,Muscular dystrophy (myotonic),vata|kapha
Myotonic dystrophy type 2,Muscular disorders,Proximal muscle weakness (neck; shoulders; hips); myotonia; muscle pain; cataracts; cardiac arrhythmias; diabetes; less facial involvement than type 1,Muscular dystrophy (myotonic),vata|kapha
Nemaline myopathy,Muscular disorders,Muscle weakness (face; neck; trunk; limbs); hypotonia; feeding and respiratory difficulties; delayed milestones,Congenital myopathy,vata|kapha
Neurogenic muscular atrophy,Muscular disorders,Progressive muscle wasting; weakness; fasciculations; loss of reflexes; muscle cramps,Neurogenic atrophy (motor neuron disease),vata
Oculopharyngeal muscular dystrophy,Muscular disorders,Ptosis (drooping eyelids); dysphagia (difficulty swallowing); proximal limb weakness; tongue weakness,Muscular dystrophy,vata
Periodic paralysis (Hypokalemic; Hyperkalemic),Muscular disorders,Episodic muscle weakness/paralysis; often triggered by rest after exercise or high-carb meals; normal between attacks,Channelopathy (muscle ion channel disorder),vata
Phosphofructokinase deficiency (Tarui disease),Muscular disorders,Exercise intolerance; muscle cramps; weakness; myoglobinuria; hemolytic anemia,Glycogen storage disease (metabolic myopathy),vata|kapha
Phosphoglycerate kinase deficiency,Muscular disorders,Muscle weakness; exercise intolerance; myoglobinuria; hemolytic anemia; intellectual disability (sometimes),Glycogen storage disease (metabolic myopathy),vata|kapha
Phosphoglycerate mutase deficiency,Muscular disorders,Exercise intolerance; muscle cramps; weakness; myoglobinuria,Glycogen storage disease (metabolic myopathy),vata|kapha
Polymyositis,Muscular disorders,Symmetrical proximal muscle weakness; muscle pain; fatigue; difficulty swallowing; low-grade fever,Inflammatory myopathy,pitta|vata
Pompe disease (acid maltase deficiency),Muscular disorders,Progressive muscle weakness; respiratory difficulties; cardiomegaly; feeding problems; hypotonia; fatigue,Glycogen storage disease (metabolic myopathy),kapha|vata
Progressive external ophthalmoplegia (PEO),Muscular disorders,Progressive weakness of eye muscles; ptosis; limited eye movement; mild limb weakness,Mitochondrial myopathy,vata
Progressive muscular atrophy,Muscular disorders,Progressive muscle wasting; weakness; fasciculations; no sensory loss,Motor neuron disease,vata
Rhabdomyolysis,Muscular disorders,Muscle pain; weakness; dark urine (myoglobinuria); swelling; risk of kidney failure,Muscle breakdown syndrome,vata|pitta
Sarcopenia,Muscular disorders,Age-related loss of muscle mass and strength; weakness; frailty; falls,Age-related muscle atrophy,vata
Scapuloperoneal muscular dystrophy,Muscular disorders,Weakness in shoulder girdle and peroneal muscles (lower legs); foot drop; scapular winging,Muscular dystrophy,vata
Spinal muscular atrophy (SMA),Muscular disorders,Progressive muscle weakness; hypotonia; poor head control; difficulty swallowing/breathing; fasciculations,Motor neuron disease,vata
Sporadic inclusion body myositis,Muscular disorders,Progressive muscle weakness (quadriceps; finger flexors); difficulty swallowing; muscle wasting,Inflammatory myopathy,vata|pitta
Thyrotoxic myopathy,Muscular disorders,Proximal muscle weakness; muscle wasting; tremor; fatigue; weight loss,Endocrine myopathy,vata|pitta
Toxic myopathy,Muscular disorders,Muscle weakness; pain; cramps; elevated CK; possible rhabdomyolysis,Toxic/metabolic myopathy,vata|pitta
Ullrich congenital muscular dystrophy,Muscular disorders,Muscle weakness from birth; joint contractures; hypermobility; respiratory issues,Congenital muscular dystrophy,vata|kapha
X-linked myotubular myopathy,Muscular disorders,Severe muscle weakness; hypotonia; respiratory failure; feeding difficulties (often fatal in infancy),Congenital myopathy,vata|kapha
Multiminicore disease,Muscular disorders,Muscle weakness (axial; respiratory; limb); scoliosis; respiratory insufficiency,Congenital myopathy,vata|kapha
Desmin-related myopathy,Muscular disorders,Progressive muscle weakness; cardiac involvement; respiratory failure,Myofibrillar myopathy,vata|kapha
Titin-related myopathy,Muscular disorders,Progressive muscle weakness; possible cardiac involvement; joint contractures,Myopathy,vata
Duchenne muscular dystrophy,Muscular disorders,Progressive muscle weakness (hips; thighs; pelvis; shoulders); frequent falls; large calf muscles; delayed growth; learning/behavioral challenges; respiratory/cardiac complications,Muscular dystrophy,vata|kapha
Becker muscular dystrophy,Muscular disorders,Progressive muscle weakness (hips; thighs; pelvis; shoulders); slower progression than DMD; heart involvement; mild contractures,Muscular dystrophy,vata|kapha
Limb-girdle muscular dystrophy,Muscular disorders,Weakness in shoulders; hips; upper arms/legs; difficulty climbing stairs; rising from sitting; walking; running; possible heart involvement,Muscular dystrophy,vata
Facioscapulohumeral muscular dystrophy,Muscular disorders,Weakness in face; shoulders; upper arms; difficulty closing eyes; chewing; moving arms; mild hearing loss,Muscular dystrophy,vata
