Disease,Common disease group,Symptoms,Disease Group,Dosha Types,symptoms_clean,dosha_clean
Candida species fungal UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; cloudy urine; possible white debris in urine; fever (if upper tract); more common in immunocompromised,Fungal UTI,Pitta|Kapha,burning urination frequency urgency suprapubic pain cloudy urine possible white debris in urine fever if upper tract more common in immunocompromised,pitta|kapha
Trichomonas vaginalis urethritis,Urinary tract infections,Burning urination; frequency; urethral discharge (frothy); itching; irritation; pain during sex,Parasitic urethritis,Pitta|Kapha,burning urination frequency urethral discharge frothy itching irritation pain during sex,pitta|kapha
Chlamydia trachomatis urethritis,Urinary tract infections,Burning urination; frequency; mild urethral discharge; pelvic pain; often mild or asymptomatic,Bacterial urethritis (sexually transmitted),Pitta|Vata,burning urination frequency mild urethral discharge pelvic pain often mild or asymptomatic,vata|pitta
Neisseria gonorrhoeae urethritis,Urinary tract infections,Burning urination; frequency; purulent urethral discharge; pelvic pain; possible fever,Bacterial urethritis (sexually transmitted),Pitta|Kapha,burning urination frequency purulent urethral discharge pelvic pain possible fever,pitta|kapha
Ureaplasma urealyticum UTI,Urinary tract infections,Burning urination; frequency; mild discharge; pelvic pain; often mild or asymptomatic,Bacterial UTI/urethritis,Pitta|Vata,burning urination frequency mild discharge pelvic pain often mild or asymptomatic,vata|pitta
Mycoplasma genitalium infection,Urinary tract infections,Burning urination; frequency; mild discharge; pelvic pain; often mild or asymptomatic,Bacterial urethritis (sexually transmitted),Pitta|Vata,burning urination frequency mild discharge pelvic pain often mild or asymptomatic,vata|pitta
Viral UTI (herpes simplex virus),Urinary tract infections,Burning urination; frequency; painful genital ulcers; dysuria; fever; pelvic pain,Viral UTI/urethritis,Pitta|Vata,burning urination frequency painful genital ulcers dysuria fever pelvic pain,vata|pitta
Schistosomiasis-associated UTIs,Urinary tract infections,Burning urination; frequency; hematuria; suprapubic pain; chronic bladder symptoms; risk of bladder cancer,Parasitic UTI,Pitta|Vata|Kapha,burning urination frequency hematuria suprapubic pain chronic bladder symptoms risk of bladder cancer,vata|pitta|kapha
Tuberculous urinary tract infection,Urinary tract infections,Burning urination; frequency; urgency; hematuria; sterile pyuria; weight loss; fever; night sweats,Mycobacterial UTI,Pitta|Vata|Kapha,burning urination frequency urgency hematuria sterile pyuria weight loss fever night sweats,vata|pitta|kapha
Pediatric urinary tract infection,Urinary tract infections,Fever; irritability; poor feeding; vomiting; diarrhea; failure to thrive; change in urination pattern; older children: burning urination; frequency; urgency; abdominal pain,Pediatric UTI,Vata|Pitta|Kapha,fever irritability poor feeding vomiting diarrhea failure to thrive change in urination pattern older children burning urination frequency urgency abdominal pain,vata|pitta|kapha
Vesicoureteral reflux-associated UTI,Urinary tract infections,Recurrent UTI symptoms; flank pain; possible kidney damage,Reflux-associated UTI,Vata|Pitta|Kapha,recurrent uti symptoms flank pain possible kidney damage,vata|pitta|kapha
Neurogenic bladder UTI,Urinary tract infections,Burning urination; frequency; urgency; incontinence; incomplete voiding; recurrent infections,UTI with neurogenic bladder,Vata|Pitta|Kapha,burning urination frequency urgency incontinence incomplete voiding recurrent infections,vata|pitta|kapha
UTI in pregnancy,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; sometimes asymptomatic; risk of pyelonephritis,UTI in pregnancy,Pitta|Vata|Kapha,burning urination frequency urgency suprapubic pain sometimes asymptomatic risk of pyelonephritis,vata|pitta|kapha
Postmenopausal UTI,Urinary tract infections,Burning urination; frequency; urgency; incontinence; recurrent infections; vaginal dryness,UTI in postmenopausal women,Vata|Pitta|Kapha,burning urination frequency urgency incontinence recurrent infections vaginal dryness,vata|pitta|kapha
Male UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic or perineal pain; possible fever; discharge,UTI in males,Pitta|Vata|Kapha,burning urination frequency urgency suprapubic or perineal pain possible fever discharge,vata|pitta|kapha
UTI in diabetic patients,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; recurrent infections; poor healing; possible fungal infections,UTI in diabetes,Kapha|Pitta|Vata,burning urination frequency urgency suprapubic pain recurrent infections poor healing possible fungal infections,vata|pitta|kapha
Xanthogranulomatous pyelonephritis,Urinary tract infections,Flank pain; fever; malaise; weight loss; palpable mass; recurrent UTI symptoms,Chronic granulomatous kidney infection,Kapha|Pitta|Vata,flank pain fever malaise weight loss palpable mass recurrent uti symptoms,vata|pitta|kapha
Malakoplakia,Urinary tract infections,Recurrent UTI symptoms; hematuria; dysuria; pelvic pain; mass lesion in bladder or kidney,Chronic inflammatory bladder/kidney disease,Kapha|Pitta|Vata,recurrent uti symptoms hematuria dysuria pelvic pain mass lesion in bladder or kidney,vata|pitta|kapha
Urethral diverticulum infection,Urinary tract infections,Burning urination; frequency; post-void dribbling; dyspareunia; recurrent infections; mass near urethra,Urethral diverticulum infection,Vata|Pitta|Kapha,burning urination frequency post void dribbling dyspareunia recurrent infections mass near urethra,vata|pitta|kapha
Chronic indwelling catheter UTI,Urinary tract infections,Burning urination; frequency; urgency; fever; suprapubic pain; discharge; often asymptomatic,Catheter-associated UTI,Vata|Pitta|Kapha,burning urination frequency urgency fever suprapubic pain discharge often asymptomatic,vata|pitta|kapha
Periurethral gland infection,Urinary tract infections,Burning urination; frequency; perineal pain; swelling; possible abscess,Periurethral gland infection,Pitta|Kapha|Vata,burning urination frequency perineal pain swelling possible abscess,vata|pitta|kapha
Prostatic abscess,Urinary tract infections,Fever; chills; perineal pain; dysuria; urinary retention; tender prostate,Prostatic abscess,Pitta|Kapha|Vata,fever chills perineal pain dysuria urinary retention tender prostate,vata|pitta|kapha
Fournier’s gangrene (necrotizing infection),Urinary tract infections,Severe pain; swelling; redness; fever; rapid tissue destruction in genital/perineal area; foul odor; shock,Necrotizing soft tissue infection (urogenital),Pitta|Vata|Kapha,severe pain swelling redness fever rapid tissue destruction in genital perineal area foul odor shock,vata|pitta|kapha
Candiduria,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; cloudy urine; white debris in urine; possible fever (if upper tract); may be asymptomatic; recurrent UTIs; fatigue; malaise; sometimes vaginal itching or discharge,Fungal UTI (lower or upper),kapha|pitta|vata,burning urination frequency urgency suprapubic pain cloudy urine white debris in urine possible fever if upper tract may be asymptomatic recurrent utis fatigue malaise sometimes vaginal itching or discharge,vata|pitta|kapha
Emphysematous prostatitis,Urinary tract infections,Fever; chills; perineal pain; dysuria; urinary retention; gas in urine; tender prostate; possible sepsis,Severe bacterial (gas-forming) prostate infection,pitta|kapha|vata,fever chills perineal pain dysuria urinary retention gas in urine tender prostate possible sepsis,vata|pitta|kapha
Prostatic calculi with infection,Urinary tract infections,Burning urination; frequency; urgency; pelvic pain; painful ejaculation; recurrent infections; possible fever; weak urine stream,Prostatic stone with infection,vata|pitta|kapha,burning urination frequency urgency pelvic pain painful ejaculation recurrent infections possible fever weak urine stream,vata|pitta|kapha
Ureterocele infection,Urinary tract infections,Burning urination; frequency; urgency; flank pain; recurrent infections; possible hematuria; urinary retention,Ureterocele (congenital dilation) with infection,vata|pitta|kapha,burning urination frequency urgency flank pain recurrent infections possible hematuria urinary retention,vata|pitta|kapha
Urinary tract fistula infections,Urinary tract infections,Continuous urine leakage; recurrent UTIs; burning urination; frequency; vaginal or perineal discharge; local irritation,Fistula-associated UTI,vata|pitta|kapha,continuous urine leakage recurrent utis burning urination frequency vaginal or perineal discharge local irritation,vata|pitta|kapha
Ureteral stent infection,Urinary tract infections,Burning urination; frequency; urgency; flank pain; hematuria; fever; discomfort; recurrent infections,Device-associated UTI,vata|pitta|kapha,burning urination frequency urgency flank pain hematuria fever discomfort recurrent infections,vata|pitta|kapha
Periureteral abscess,Urinary tract infections,Flank pain; fever; chills; palpable mass; malaise; urinary symptoms (burning; frequency),Abscess near ureter,pitta|kapha|vata,flank pain fever chills palpable mass malaise urinary symptoms burning frequency,vata|pitta|kapha
Ureteral stricture with infection,Urinary tract infections,Burning urination; frequency; urgency; flank pain; urinary retention; recurrent infections,Ureteral narrowing with infection,vata|pitta|kapha,burning urination frequency urgency flank pain urinary retention recurrent infections,vata|pitta|kapha
Renal papillary necrosis with infection,Urinary tract infections,Flank pain; fever; hematuria; burning urination; passage of tissue fragments; malaise,Kidney papillae necrosis with infection,pitta|vata|kapha,flank pain fever hematuria burning urination passage of tissue fragments malaise,vata|pitta|kapha
Pyonephrosis,Urinary tract infections,Flank pain; fever; chills; malaise; palpable mass; severe infection; sepsis; urinary obstruction,Pus-filled kidney (infected hydronephrosis),pitta|kapha|vata,flank pain fever chills malaise palpable mass severe infection sepsis urinary obstruction,vata|pitta|kapha
Acute bacterial prostatitis,Urinary tract infections,Fever; chills; perineal pain; dysuria; urinary retention; tender prostate; malaise,Acute prostate infection,pitta|vata|kapha,fever chills perineal pain dysuria urinary retention tender prostate malaise,vata|pitta|kapha
Chronic bacterial prostatitis,Urinary tract infections,Pelvic pain; burning urination; frequency; urgency; painful ejaculation; recurrent infections; low-grade fever,Chronic prostate infection,vata|pitta|kapha,pelvic pain burning urination frequency urgency painful ejaculation recurrent infections low grade fever,vata|pitta|kapha
Prostatodynia (nonbacterial prostatitis),Urinary tract infections,Pelvic pain; perineal discomfort; urinary frequency; urgency; pain during or after ejaculation; no infection found,Nonbacterial prostate pain syndrome,vata|pitta,pelvic pain perineal discomfort urinary frequency urgency pain during or after ejaculation no infection found,vata|pitta
Epididymo-orchitis,Urinary tract infections,Scrotal pain; swelling; redness; fever; dysuria; discharge; possible testicular pain,Epididymis and testis infection,pitta|kapha|vata,scrotal pain swelling redness fever dysuria discharge possible testicular pain,vata|pitta|kapha
Gangrenous cystitis,Urinary tract infections,Severe suprapubic pain; fever; hematuria; foul-smelling urine; tissue necrosis; sepsis,Necrotizing bladder infection,pitta|vata|kapha,severe suprapubic pain fever hematuria foul smelling urine tissue necrosis sepsis,vata|pitta|kapha
Bacterial prostatitis syndrome,Urinary tract infections,Pelvic pain; burning urination; frequency; urgency; fever (acute); painful ejaculation; recurrent infections,Prostate infection syndromes,pitta|vata|kapha,pelvic pain burning urination frequency urgency fever acute painful ejaculation recurrent infections,vata|pitta|kapha
Asymptomatic bacteriuria,Urinary tract infections,No symptoms; bacteria present in urine on testing,Asymptomatic UTI,kapha|pitta,no symptoms bacteria present in urine on testing,pitta|kapha
Renal scarring due to recurrent UTI,Urinary tract infections,Often asymptomatic; may have hypertension; proteinuria; history of recurrent UTI; possible flank pain,Chronic kidney damage from infection,kapha|vata|pitta,often asymptomatic may have hypertension proteinuria history of recurrent uti possible flank pain,vata|pitta|kapha
Urinary tract obstruction due to infection,Urinary tract infections,Burning urination; frequency; urgency; pain; urinary retention; fever; recurrent infections,Obstructive UTI,vata|pitta|kapha,burning urination frequency urgency pain urinary retention fever recurrent infections,vata|pitta|kapha
Antibiotic-resistant UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever; recurrent or persistent symptoms despite antibiotics,Resistant bacterial UTI,pitta|vata|kapha,burning urination frequency urgency suprapubic pain fever recurrent or persistent symptoms despite antibiotics,vata|pitta|kapha
Extended spectrum beta-lactamase (ESBL) producing bacteria UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever; recurrent or persistent symptoms; often in hospital settings,Resistant bacterial UTI,pitta|vata|kapha,burning urination frequency urgency suprapubic pain fever recurrent or persistent symptoms often in hospital settings,vata|pitta|kapha
Infectious urethral stricture,Urinary tract infections,Burning urination; frequency; weak urine stream; straining; incomplete emptying; recurrent infections,Urethral narrowing with infection,vata|pitta|kapha,burning urination frequency weak urine stream straining incomplete emptying recurrent infections,vata|pitta|kapha
Urogenital tuberculosis,Urinary tract infections,Burning urination; frequency; urgency; hematuria; sterile pyuria; weight loss; fever; night sweats; chronic pelvic pain,Mycobacterial urogenital infection,pitta|vata|kapha,burning urination frequency urgency hematuria sterile pyuria weight loss fever night sweats chronic pelvic pain,vata|pitta|kapha
Chronic fungal prostatitis,Urinary tract infections,Pelvic pain; burning urination; frequency; urgency; perineal discomfort; recurrent infections; possible discharge,Chronic fungal prostate infection,kapha|pitta|vata,pelvic pain burning urination frequency urgency perineal discomfort recurrent infections possible discharge,vata|pitta|kapha
Parasitic urinary infections,Urinary tract infections,Burning urination; frequency; hematuria; pelvic pain; possible passage of parasites; chronic bladder symptoms,Parasitic UTI,pitta|vata|kapha,burning urination frequency hematuria pelvic pain possible passage of parasites chronic bladder symptoms,vata|pitta|kapha
Actinomycosis of the Urinary Tract,Urinary tract infections,"Hematuria (blood in urine); burning urination; increased frequency; suprapubic or lower abdominal pain; irritative and obstructive urinary symptoms; fever; weight loss; palpable abdominal mass; possible mass effect (obstruction, pressure); constitutional symptoms (fatigue, malaise); sometimes misdiagnosed as tumor; possible abscess or fistula formation","Chronic bacterial infection (rare, mimics tumor)",kapha|pitta|vata,hematuria blood in urine burning urination increased frequency suprapubic or lower abdominal pain irritative and obstructive urinary symptoms fever weight loss palpable abdominal mass possible mass effect obstruction pressure constitutional symptoms fatigue malaise sometimes misdiagnosed as tumor possible abscess or fistula formation,vata|pitta|kapha
Prostatic Tuberculosis,Urinary tract infections,Burning urination; frequency; urgency; perineal pain; pelvic pain; hematuria; dysuria; possible abscess; low-grade fever; weight loss; chronic pelvic discomfort,Mycobacterial (tuberculous) prostate infection,pitta|vata|kapha,burning urination frequency urgency perineal pain pelvic pain hematuria dysuria possible abscess low grade fever weight loss chronic pelvic discomfort,vata|pitta|kapha
Cysticercosis Involving Urinary Tract,Urinary tract infections,Hematuria; dysuria; passage of cysts or tissue in urine; pelvic pain; possible urinary obstruction; recurrent infections,Parasitic infection (cysticercosis),pitta|vata|kapha,hematuria dysuria passage of cysts or tissue in urine pelvic pain possible urinary obstruction recurrent infections,vata|pitta|kapha
Malignant Transformation in Chronic UTI (rare),Urinary tract infections,"Hematuria; persistent burning urination; frequency; pelvic pain; weight loss; mass effect; possible constitutional symptoms (fatigue, malaise)",Chronic UTI with secondary malignancy,kapha|pitta|vata,hematuria persistent burning urination frequency pelvic pain weight loss mass effect possible constitutional symptoms fatigue malaise,vata|pitta|kapha
UTI with Septicemia,Urinary tract infections,Burning urination; frequency; urgency; fever; chills; malaise; confusion; low blood pressure; rapid heart rate; possible shock,UTI with systemic infection (sepsis),pitta|vata|kapha,burning urination frequency urgency fever chills malaise confusion low blood pressure rapid heart rate possible shock,vata|pitta|kapha
Urosepsis,Urinary tract infections,Burning urination; frequency; urgency; fever; chills; confusion; low blood pressure; rapid heart rate; organ dysfunction; possible shock,UTI with systemic sepsis,pitta|vata|kapha,burning urination frequency urgency fever chills confusion low blood pressure rapid heart rate organ dysfunction possible shock,vata|pitta|kapha
Acute Hemorrhagic Cystitis,Urinary tract infections,Sudden onset hematuria; burning urination; frequency; urgency; suprapubic pain; possible clots in urine,Acute bladder infection with bleeding,pitta|vata,sudden onset hematuria burning urination frequency urgency suprapubic pain possible clots in urine,vata|pitta
Chronic Pelvic Pain Syndrome (including infectious causes),Urinary tract infections,Chronic pelvic pain; perineal pain; urinary frequency; urgency; burning urination; pain during or after ejaculation; possible low-grade fever,Chronic pelvic pain (may be infectious or noninfectious),vata|pitta,chronic pelvic pain perineal pain urinary frequency urgency burning urination pain during or after ejaculation possible low grade fever,vata|pitta
Prostatodynia with Infection,Urinary tract infections,Pelvic pain; perineal discomfort; burning urination; frequency; urgency; pain during or after ejaculation; possible low-grade fever,Prostate pain syndrome with infection,vata|pitta,pelvic pain perineal discomfort burning urination frequency urgency pain during or after ejaculation possible low grade fever,vata|pitta
Catheter-Associated Biofilm Infections,Urinary tract infections,Burning urination; frequency; urgency; fever; suprapubic pain; discharge; recurrent or persistent infection; often asymptomatic,Device-associated UTI (biofilm),kapha|pitta|vata,burning urination frequency urgency fever suprapubic pain discharge recurrent or persistent infection often asymptomatic,vata|pitta|kapha
Nosocomial UTI,Urinary tract infections,Burning urination; frequency; urgency; fever; suprapubic pain; often asymptomatic; may be resistant to antibiotics,Hospital-acquired UTI,pitta|vata|kapha,burning urination frequency urgency fever suprapubic pain often asymptomatic may be resistant to antibiotics,vata|pitta|kapha
Polymicrobial Urinary Tract Infection,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever; recurrent or persistent symptoms,Mixed bacterial UTI,pitta|vata|kapha,burning urination frequency urgency suprapubic pain fever recurrent or persistent symptoms,vata|pitta|kapha
Urethral Abscess,Urinary tract infections,Perineal pain; swelling; redness; burning urination; fever; possible discharge; difficulty urinating,Urethral abscess,pitta|kapha|vata,perineal pain swelling redness burning urination fever possible discharge difficulty urinating,vata|pitta|kapha
Urethral Fistula Infection,Urinary tract infections,Continuous urine leakage; burning urination; frequency; perineal pain; recurrent infections; local irritation,Fistula-associated UTI,vata|pitta|kapha,continuous urine leakage burning urination frequency perineal pain recurrent infections local irritation,vata|pitta|kapha
Urinary Tract Infection in Renal Transplant,Urinary tract infections,Burning urination; frequency; urgency; fever; flank pain; graft tenderness; possible asymptomatic bacteriuria; risk of sepsis,UTI in renal transplant recipient,pitta|vata|kapha,burning urination frequency urgency fever flank pain graft tenderness possible asymptomatic bacteriuria risk of sepsis,vata|pitta|kapha
Postoperative Urinary Tract Infection,Urinary tract infections,Burning urination; frequency; urgency; fever; suprapubic pain; possible wound infection; delayed healing,Post-surgical UTI,pitta|vata|kapha,burning urination frequency urgency fever suprapubic pain possible wound infection delayed healing,vata|pitta|kapha
Nosocomial Cystitis,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever; often asymptomatic; may be resistant to antibiotics,Hospital-acquired bladder infection,pitta|vata|kapha,burning urination frequency urgency suprapubic pain fever often asymptomatic may be resistant to antibiotics,vata|pitta|kapha
Ureteral Calculi Complicated by Infection,Urinary tract infections,Flank pain; burning urination; frequency; urgency; hematuria; fever; chills; possible urinary retention; sepsis,Kidney/ureter stone with infection,vata|pitta|kapha,flank pain burning urination frequency urgency hematuria fever chills possible urinary retention sepsis,vata|pitta|kapha
Ureteral Tuberculosis,Urinary tract infections,Burning urination; frequency; urgency; hematuria; flank pain; sterile pyuria; weight loss; fever; night sweats,Mycobacterial ureter infection,pitta|vata|kapha,burning urination frequency urgency hematuria flank pain sterile pyuria weight loss fever night sweats,vata|pitta|kapha
Urinary Fistula Post Gynecological Surgery Infection,Urinary tract infections,Continuous urine leakage; burning urination; frequency; pelvic pain; recurrent infections; local irritation,Post-surgical fistula with infection,vata|pitta|kapha,continuous urine leakage burning urination frequency pelvic pain recurrent infections local irritation,vata|pitta|kapha
Bladder Mucosal Infections,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; hematuria; possible ulceration,Bladder mucosal infection,pitta|vata|kapha,burning urination frequency urgency suprapubic pain hematuria possible ulceration,vata|pitta|kapha
Paraneoplastic Syndromes Involving Urinary Tract Infection,Urinary tract infections,"Burning urination; frequency; urgency; hematuria; systemic symptoms (fever, weight loss); possible neurological or endocrine symptoms",Paraneoplastic syndrome with UTI,kapha|pitta|vata,burning urination frequency urgency hematuria systemic symptoms fever weight loss possible neurological or endocrine symptoms,vata|pitta|kapha
"Viral Hemorrhagic Cystitis (e.g., BK virus)",Urinary tract infections,Hematuria; burning urination; frequency; urgency; suprapubic pain; possible clots in urine; fever,Viral bladder infection with bleeding,pitta|vata,hematuria burning urination frequency urgency suprapubic pain possible clots in urine fever,vata|pitta
Renal Parenchymal Infections,Urinary tract infections,Flank pain; fever; chills; malaise; burning urination; frequency; hematuria; possible abscess formation,Kidney tissue infection,pitta|vata|kapha,flank pain fever chills malaise burning urination frequency hematuria possible abscess formation,vata|pitta|kapha
Infection-Induced Interstitial Nephritis,Urinary tract infections,Flank pain; fever; malaise; hematuria; burning urination; possible rash; joint pain; acute kidney injury,Kidney interstitial tissue infection,pitta|vata|kapha,flank pain fever malaise hematuria burning urination possible rash joint pain acute kidney injury,vata|pitta|kapha
Acid maltase deficiency (Pompe disease),Muscular disorders,Progressive muscle weakness; respiratory difficulties; cardiomegaly; feeding problems; poor growth; fatigue; exercise intolerance; hypotonia,Glycogen storage disease (metabolic myopathy),kapha|vata,progressive muscle weakness respiratory difficulties cardiomegaly feeding problems poor growth fatigue exercise intolerance hypotonia,vata|kapha
Acid sphingomyelinase deficiency,Muscular disorders,Muscle weakness; hepatosplenomegaly; ataxia; developmental delay; hypotonia; respiratory issues,Lysosomal storage disease (Niemann-Pick disease),kapha|vata,muscle weakness hepatosplenomegaly ataxia developmental delay hypotonia respiratory issues,vata|kapha
Amyotrophic lateral sclerosis (ALS),Muscular disorders,Progressive muscle weakness; muscle wasting; fasciculations; spasticity; difficulty speaking/swallowing; respiratory failure,Motor neuron disease,vata,progressive muscle weakness muscle wasting fasciculations spasticity difficulty speaking swallowing respiratory failure,vata
Ankylosing spondylitis (can involve muscle),Muscular disorders,Back pain; stiffness; reduced mobility; muscle pain; fatigue,Inflammatory spondyloarthropathy,vata|pitta,back pain stiffness reduced mobility muscle pain fatigue,vata|pitta
Becker muscular dystrophy (BMD),Muscular disorders,Progressive muscle weakness (hips; thighs; pelvis; shoulders); difficulty walking; heart involvement; mild contractures; slower progression than DMD,Muscular dystrophy,vata|kapha,progressive muscle weakness hips thighs pelvis shoulders difficulty walking heart involvement mild contractures slower progression than dmd,vata|kapha
Bethlem myopathy,Muscular disorders,Proximal muscle weakness; joint contractures; mild progression; respiratory issues,Congenital myopathy,vata|kapha,proximal muscle weakness joint contractures mild progression respiratory issues,vata|kapha
